store_cd,store_nm,address,x,y,sale_avg,x_y_list,parking_200m,parking_500m,parking_1000m,academy_200m,academy_500m,academy_1000m,accommodation_200m,accommodation_500m,accommodation_1000m,bike_count_200m,bike_count_500m,bike_count_1000m,bike_station_200m,bike_station_500m,bike_station_1000m,school_500m,mart_1000m,trdar_cd,apt_avg_ae,apt_avg_price,tot_flpop_co,cnsmr_popltn_co,tot_repop_co,total_subpas,sub_400m,sub_500m,have_sub,con_20m,con_30m,con_40m,total_worker,active_pop,close_cr_dis,have_cr,cr_in_50m,cr_in_100m,cr_in_500m,close_st_dis,have_st,st_in_50m,st_in_500m,st_in_1000m,passenger_sum_50m,passenger_sum_500m,trdar_se_a,trdar_se_r,trdar_se_u,trdar_se_d,school_yn,mart_yn,starbucks_100,starbucks_500,land_use_intensity,official_land_value,building_counts
50009,시립대사랑점,서울특별시 동대문구 전농로 2332층(전농동),127.053978285554,37.5793286114287,2405262.5555555555,"[127.053978285554, 37.5793286114287]",6,20,61,8,37,167,1,3,28,0.0,83311.0,293485.0,0.0,110.0,345.0,4,1,1000187,57.0,188465344.0,978019,553112.8083861498,3343,48644.34615384616,1,2,1,0,0,0,27566.0,1734,181,0,0,0,41,224,0,0,35,135,0.0,4744240.0,0,0,0,1,1,1,0.0,0.0,104.0,2915175.92,262.0
50036,문정문현점,"서울특별시 송파구 새말로10길 22,1층 (문정동)",127.127491729994,37.4810076829075,1048736.0,"[127.127491729994, 37.4810076829075]",0,8,36,9,57,129,0,1,1,0.0,147784.0,311033.0,0.0,120.0,337.0,4,3,1000957,51.0,218570789.0,947599,553112.8083861498,3357,48644.34615384616,1,3,1,1,1,1,351.0,1164,94,0,0,0,86,89,0,0,47,123,0.0,6609043.0,1,0,0,0,1,1,0.0,3.0,202.86,5438107.36,40.0
50267,가락신가점,서울특별시 송파구 송이로 791층,127.120139452514,37.4989869659618,3044723.4444444445,"[127.120139452514, 37.4989869659618]",0,10,41,26,59,292,0,1,7,0.0,29349.0,268100.0,0.0,41.0,210.0,4,1,1000959,59.0,224468799.0,453220,1758283.8528284938,1499,53655.88888888889,2,2,1,1,1,1,358.0,1514,25,1,2,4,78,14,1,1,27,107,45399.0,855018.0,1,0,0,0,1,1,0.0,1.0,217.92,5382893.28,105.0
50503,성북동소문점,서울특별시 성북구 동소문로13가길 181층(1층 전체)(동소문동4가),127.010944800052,37.5912398607036,2592514.6666666665,"[127.010944800052, 37.5912398607036]",6,21,60,40,125,257,1,9,38,23346.0,113443.0,307158.0,29.0,116.0,285.0,6,1,1000268,67.0,163011895.0,835147,1758283.8528284938,2855,53655.88888888889,1,2,1,0,1,1,42.0,10683,41,0,0,1,118,90,0,0,68,223,0.0,13528007.0,1,0,0,0,1,1,0.0,1.0,348.32,3837400.03,161.0
50610,용두사거리점,"서울특별시 동대문구 왕산로 681층 102호(용두동 119-1,2번지, 용운빌딩)",127.031043166914,37.5776719238081,4432730.222222222,"[127.031043166914, 37.5776719238081]",5,19,111,7,29,136,1,16,58,34455.0,117555.0,633355.0,20.0,80.0,420.0,1,0,1000210,50.0,144781403.0,1503159,202454.1090783348,2881,15498.692307692309,0,1,0,0,1,1,2096.0,797,19,1,3,15,108,106,0,0,34,141,0.0,5785965.0,1,0,0,0,1,0,0.0,1.0,166.56,3197733.92,198.0
50940,청파숙대점,서울특별시 용산구 청파로47길 831층,126.965742817057,37.5449471948774,3174166.4444444445,"[126.965742817057, 37.5449471948774]",4,20,58,2,24,154,0,7,50,0.0,29841.0,167359.0,0.0,40.0,210.0,8,0,1000073,46.0,166160048.0,945238,186995.99341813973,1666,33318.42307692308,0,0,0,1,1,1,3230.0,653,54,1,1,3,55,78,0,0,36,201,0.0,2996540.0,1,0,0,0,1,0,0.0,1.0,145.77,5372533.28,164.0
50962,대림로점,서울특별시 영등포구 도림로47길 1201동 상가1층 101호,126.899818587984,37.4968428019527,2425002.111111111,"[126.899818587984, 37.4968428019527]",2,13,61,11,53,154,0,2,38,0.0,48564.0,302880.0,0.0,60.0,300.0,3,1,1000693,43.0,121597380.0,1213570,134237.58703697004,1716,29717.153846153844,1,1,1,0,0,0,572.0,508,1,1,4,7,89,89,0,0,56,243,0.0,3619078.0,1,0,0,0,1,1,0.0,0.0,144.27,2806478.85,107.0
50984,종로삼일대로점,서울특별시 종로구 삼일대로 393-11층,126.987390656141,37.5696744077038,5050234.666666667,"[126.987390656141, 37.5696744077038]",16,102,338,66,193,287,15,111,269,74452.0,239001.0,727959.0,72.0,244.0,719.0,0,0,1001494,39.0,112097903.0,3738997,150564.89388329987,1924,4406.692307692308,0,1,0,1,1,1,2512.0,117,15,1,4,9,156,40,1,2,52,158,268739.0,16341090.0,1,0,0,0,0,0,0.0,12.0,431.76,12545875.76,151.0
51028,문래아르디세점,서울특별시 영등포구 선유로17길 24112호,126.887361968624,37.5207713568202,4004948.888888889,"[126.887361968624, 37.5207713568202]",4,33,92,11,64,144,0,12,23,50009.0,179124.0,545127.0,20.0,101.0,341.0,3,1,1000711,72.0,282568421.0,449863,275863.29915289977,1288,14816.602564102564,0,0,0,1,1,1,192.0,1955,4,1,2,10,134,65,0,0,55,146,0.0,4620705.0,1,0,0,0,1,1,0.0,2.0,178.19,4860388.23,41.0
51279,금천필승점,서울특별시 금천구 시흥대로63길 50(시흥동),126.896934280371,37.4554917386009,1785820.111111111,"[126.896934280371, 37.4554917386009]",2,14,37,0,21,159,0,10,22,14285.0,95720.0,167548.0,31.0,132.0,272.0,1,1,1000679,50.0,170447385.0,231906,125268.43316110504,1585,24332.30769230769,0,0,0,1,1,1,964.0,683,29,1,1,1,43,54,0,0,57,165,0.0,8643856.0,1,0,0,0,1,1,0.0,1.0,130.75,4044258.68,14.0
