,parking_200m,parking_500m,parking_1000m,academy_200m,academy_500m,academy_1000m,accommodation_200m,accommodation_500m,accommodation_1000m,bike_count_200m,bike_count_500m,bike_count_1000m,bike_station_200m,bike_station_500m,bike_station_1000m,school_500m,mart_1000m,trdar_cd,apt_avg_ae,apt_avg_price,tot_flpop_co,cnsmr_popltn_co,tot_repop_co,total_subpas,sub_400m,sub_500m,con_20m,con_30m,con_40m,total_worker,active_pop,close_cr_dis,cr_in_50m,cr_in_100m,cr_in_500m,close_st_dis,st_in_50m,st_in_500m,st_in_1000m,passenger_sum_50m,passenger_sum_500m,starbucks_100,starbucks_500,land_use_intensity,official_land_value,building_counts,have_sub,have_cr,have_st,trdar_se_a,trdar_se_r,trdar_se_u,trdar_se_d,school_yn,mart_yn
36,0.05263157894736842,0.0896551724137931,0.12037037037037038,0.11224489795918366,0.11954022988505747,0.1900937081659973,0.0,0.018018018018018018,0.13380281690140847,0.0,0.14828141448152674,0.3487155994226862,0.0,0.17857142857142858,0.3005008347245409,0.3333333333333333,0.25,0.4599326599327469,0.04800000000000004,0.0483227195708566,0.3176336347306554,0.054123407654447855,0.2085411850590096,0.18805057850257997,0.5,0.25,0.0,0.0,0.0,0.005333104362841906,0.04630237135626581,0.0,0.6666666666666666,0.5833333333333333,0.5286624203821656,0.26031746031746034,0.0,0.7818181818181817,0.9896373056994818,0.0,0.14008773336024202,0.0,0.0,0.2394902478825084,0.019141728912510075,0.4061302681992337,1,1,0,1,0,0,0,1,1
37,0.10526315789473684,0.13793103448275862,0.1111111111111111,0.02040816326530612,0.052873563218390804,0.1900937081659973,0.0,0.06306306306306306,0.17605633802816903,0.0,0.07960768347656408,0.14107722337814355,0.0,0.08928571428571427,0.15025041736227043,0.8888888888888888,0.0,0.042424242424317526,0.07200000000000001,0.10881563531614977,0.24513075441558246,0.08485094460739362,0.20245771991726486,0.21330981278511651,0.0,0.0,0.25,0.2,0.2,0.030691586288483737,0.059893148373793226,0.26767676767676774,0.16666666666666666,0.25,0.3121019108280255,0.2253968253968254,0.0,0.4181818181818182,0.7720207253886011,0.0,0.10853634252552125,0.0,0.06666666666666667,0.24337555365607277,0.052097404816544554,0.6245210727969348,0,1,0,1,0,0,0,1,0
38,0.0,0.006896551724137931,0.0,0.21428571428571427,0.09195402298850575,0.13788487282463185,0.0,0.0,0.0,0.03361897598452694,0.0,0.024990883712948816,0.25,0.08035714285714285,0.17362270450751252,0.6666666666666666,0.25,0.6181818181818244,0.16000000000000003,0.26248646993227875,0.13767797969404894,0.02692641712853954,0.19722593989536438,0.018164822638551386,0.5,0.25,0.25,0.2,0.2,0.004321818025701938,0.06870372106101791,0.08080808080808081,0.16666666666666666,0.16666666666666666,0.20382165605095542,0.3460317460317461,0.0,0.4181818181818182,0.3626943005181347,0.0,0.04348823858754491,0.0,0.0,0.17877586966094233,0.03250362930135681,0.3256704980842912,1,1,0,1,0,0,0,1,1
39,0.13157894736842105,0.12413793103448276,0.25308641975308643,0.02040816326530612,0.06666666666666667,0.20348058902275767,0.0,0.04504504504504504,0.11267605633802817,0.5589104389405254,0.23615283325447392,0.41946871198355085,0.2777777777777778,0.08928571428571427,0.21702838063439064,0.1111111111111111,0.25,0.13737373737376402,0.17600000000000005,0.10066135133375989,0.20582769339181148,0.5376031561082902,0.35174595449568075,0.2620214818198394,0.5,0.5,0.25,0.2,0.2,0.0031101825085625423,0.10122785640641109,0.06565656565656566,0.6666666666666666,1.0,0.3312101910828026,0.09841269841269841,0.3333333333333333,0.1090909090909091,0.41968911917098445,0.2001410110887977,0.08932958578061309,0.0,0.0,0.3090890253062916,0.02038323317678641,0.8505747126436781,1,1,1,1,0,0,0,1,1
40,0.15789473684210525,0.13793103448275862,0.09567901234567902,0.08163265306122448,0.11264367816091954,0.16198125836680052,0.3181818181818182,0.14414414414414414,0.08450704225352113,0.27341105678826627,0.21002285089698025,0.3636632458884779,0.2777777777777778,0.2678571428571428,0.16694490818030053,0.3333333333333333,0.0,0.5286195286196289,0.040000000000000036,0.11279142991157903,0.10442385052191525,0.07491828247050811,0.43058766273269256,0.13585860102642097,0.5,0.25,0.25,0.2,0.2,0.1853325319366133,0.10713281469678508,0.16666666666666669,0.16666666666666666,0.5,0.3184713375796179,0.06984126984126984,0.3333333333333333,0.7818181818181817,0.6839378238341969,0.047475770540469746,0.4475950717151014,0.0,0.0,0.19584531302613517,0.04965327429906351,0.4789272030651341,1,1,1,0,0,0,1,1,0
41,0.0,0.034482758620689655,0.11728395061728394,0.1020408163265306,0.14942528735632182,0.34002677376171353,0.13636363636363635,0.08108108108108109,0.11619718309859155,0.1741524740772578,0.08339660427601536,0.07123420737331425,0.2777777777777778,0.21428571428571427,0.11018363939899836,0.4444444444444444,0.25,0.21481481481487208,0.11200000000000004,0.07561388040553088,0.3809289637566658,0.10516576984745454,0.33507726000730015,0.17580596597713694,1.0,0.5,0.0,0.0,0.0,0.0015837125657097609,0.1311275658449714,0.10101010101010101,0.16666666666666666,0.16666666666666666,0.35031847133757965,0.21904761904761905,0.0,0.4,0.7409326424870466,0.0,0.1821160299612978,0.0,0.06666666666666667,0.34144067138083767,0.016823617918322504,0.9731800766283524,1,1,0,0,1,0,0,1,1
42,0.18421052631578946,0.2,0.25617283950617287,0.0,0.009195402298850575,0.008032128514056224,0.0,0.06306306306306306,0.04929577464788733,0.5998898619244614,0.506244566951661,0.9664474672043487,0.2777777777777778,0.22321428571428573,0.333889816360601,0.0,0.0,0.7636363636364649,0.8560000000000001,1.0,0.04670109354701344,0.6084890221391294,0.09709210366224601,0.16271344856467534,0.0,0.0,0.25,0.2,0.2,0.03856244693131839,0.02521323460493017,0.13636363636363638,0.6666666666666666,0.5,0.30573248407643316,0.0,0.3333333333333333,0.054545454545454536,0.0,0.33735833406094473,0.11223170981222821,0.0,0.2,0.07845727458751003,0.07320436665818889,0.034482758620689655,0,1,1,0,0,0,1,0,0
43,0.15789473684210525,0.14482758620689656,0.11728395061728394,0.4081632653061224,0.2850574712643678,0.3279785809906292,0.045454545454545456,0.08108108108108109,0.13380281690140847,0.31357115994197604,0.3862498486999197,0.35527013320504136,0.40277777777777773,0.4285714285714285,0.27545909849749584,0.6666666666666666,0.25,0.173737373737481,0.24000000000000005,0.10454208162806511,0.21538434102930465,1.0,0.34712252098795476,0.3559564133970327,0.5,0.5,0.0,0.2,0.2,0.00027667267714206664,1.0,0.20202020202020204,0.0,0.08333333333333333,0.713375796178344,0.2634920634920635,0.0,1.0,0.8860103626943006,0.0,0.6422907982855945,0.0,0.06666666666666667,0.7680213432797162,0.03238178488851866,0.6130268199233716,1,0,0,1,0,0,0,1,1
44,0.4473684210526315,0.6275862068965518,0.9783950617283951,0.0,0.0735632183908046,0.2637215528781794,0.3181818181818182,0.7297297297297297,1.0,0.0,0.3827910371666355,0.7965367302099963,0.0,0.5535714285714285,0.8480801335559266,0.0,0.0,0.9979797979798377,0.6080000000000001,0.7026085087661774,0.9542013691493938,0.05426305844009671,0.134079571724054,0.14665460164981198,0.0,0.0,0.25,0.2,0.2,0.0001240256828567885,0.0,0.09090909090909091,0.16666666666666666,0.25,1.0,0.14285714285714285,0.0,0.5272727272727272,0.6010362694300517,0.0,1.0000000000000002,1.0,1.0,1.0,0.7689526552873293,0.6590038314176244,0,1,0,1,0,0,0,0,0
45,0.0,0.10344827586206896,0.08950617283950615,0.49999999999999994,0.26896551724137935,0.35876840696117807,0.0,0.0990990990990991,0.11267605633802817,0.0,0.20594416751944894,0.18622965689053406,0.0,0.08928571428571427,0.16694490818030053,0.5555555555555556,0.0,0.26531986531995244,0.11200000000000004,0.06085333881436564,0.09598501371527139,0.16517633093822043,0.350285922861662,0.13509574066011173,0.5,0.25,0.25,0.4,0.4,0.23242412967362164,0.19833161495922766,0.10606060606060606,1.0,0.75,0.47770700636942676,0.04444444444444444,1.0,0.8545454545454545,0.854922279792746,0.12601065223085653,0.3638562031645659,0.0,0.06666666666666667,0.2107648871966224,0.017220331368207813,0.6973180076628351,1,1,1,0,0,1,0,1,0
